"OBJECTID","MDSITEID","YEAR","MD_CUMBI","MD_FIBI","MD_BIBI","HYPERLINK","COMID","HWUID","CBP_SIHW","HW_Outlet","State","County","PctNatural","PctForeRZ","PopDensity","HousUnit","MineDensity","Mngd_TF_HCZ","PctForeLos","LandCondSu","PctAg_Hyd_S","PctWetla_2","PctForeWshed","PctImpWshed","RoadStream","PctForeLos.1","PctWetland","DamDensity","Road_Dens","PctWetWshed","PctImpRZ","PctVulnGeo","HabConditi","HabCondi_1","HabCondi_2","PctNatlCon","Out_Aq_Con","Pct_303d_Cat","SPARROWTN","SPARROWTP","CBP_Ag_N","CBP_Ag_P","CBP_Ag_S","CBP_CSO_N","CBP_CSO_P","CBP_CSO_S","CBP_DEV_N","CBP_DEV_P","CBP_DEV_S","CBP_SEP_N","CBP_SEP_P","CBP_SEP_S","CBP_WW_N","CBP_WW_P","CBP_WW_S","FutureDev","AvgPctFore","PctProtLan","AgWaterUse","Dom_WatUse","Ind_WatUse","Wld_Fir_Rsk","BrkTrt_Curr","BrkTrt_6deg","Cli_Stress","HUC12_ID","HUC12_Acre","HUC12_DS","HUC12_Name","HUC12_Type","Headwater","Catch_Area","StateFIPS","CountyFIPS","FIPS","Shape_Leng","Shape_Area","BUFPctFor","BUFPctImp"
1,"LMON-209-T-2000",2000,"4.00","4.00","4.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=LMON-209-T-2000",8449954,"491",1,"HWoutlet","MD","Frederick County",0.464457105772,0.868167013969,61.3347926008,21.8643364058,0,0.334590009425,0.445397590361,0.790011109,0,0.119801980198,0.459083391772,0.0358520336606,0.389590151161,0.445397590361,0.005373714,0,0.894992654531,0.880198019802,0.0100586756077,1,3.6,3.4,3.4,0.155258764608,0.678574084161,0,0.000415893617786,0.000240833637962,0.000704760257316,0.00026790028811,0.00115053834811,0,0,0,0.00079959881051,0.000567278658539,0.000514858419868,0.00251752255832,0,0,1.24379768193e-06,0,8.75025935264e-07,0.00477336950898,0.0654061926853,0.0375370110644,4.18,17.19,4.15,0.000402327224002,0.021091087,0.153929878,0.440812284,"020700090603",12993,"020700090604","North Fork Linganore Creek","S","No",0.847800335339,24,21,24021,5520,847800,0.972133757961783,0
2,"FR-P-399-126-96",1996,"1.42","1.33","1.50","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=FR-P-399-126-96",8449956,"NA",0,"OutsideHW","MD","Frederick County",0.337959201833,0.911118193891,38.8444727225,14.231213567,0,0.566666666667,0.707789284106,0.708596517,0,0.0424242424242,0.334700520833,0.030859375,0.868055555556,0.707789284106,0.003258681,0,0.939744630351,0.957575757576,0.0414507772021,0.974479166667,3.6,3.2,3.2,0.828341013825,0.507950129328,0,0.000144714148064,7.79280714149e-05,0.000191319110959,7.11152104379e-05,0.000312578246825,0,0,0,0.000154809640961,0.000106817206026,9.05922207366e-05,0.000398090282456,0,0,0,0,6.7309687328e-08,0.00351290162302,0.0120192307692,0.268185763889,4.18,17.19,4.15,0,0.010549687,0.092080752,0.164564407,"020700090603",12993,"020700090604","North Fork Linganore Creek","S","Yes",2.30399968479,24,21,24021,9660,2304000,0.767330677290837,0
3,"LMON-108-R-2003",2003,"3.29","3.33","3.25","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=LMON-108-R-2003",8450016,"491",0,"HWother","MD","Carroll County",0.553639940307,0.849561717352,112.124663875,39.0553297899,0,0.164705882353,0.247028862479,0.850086589,0,0,0.553639940307,0.0618640618641,0.452222674445,0.247028862479,0,0,0.827957779038,1,0.041958041958,1,4.2,2.8,2.8,0.355187778485,0.665835957338,0,8.18372545496e-05,4.67974722869e-05,7.47481304435e-05,3.19311261008e-05,0.000121691947149,0,0,0,0.000229521865846,0.000169557456384,0.000168689643504,0.000929797642131,0,0,5.52798969749e-07,0,3.02893592976e-07,0,0.103315487931,0.0369465925021,0.15,11.2,0.46,0.000108569482065,0.099473007,0.484211342,0.260768699,"020700090603",12993,"020700090604","North Fork Linganore Creek","S","Yes",2.21130004299,24,13,24013,7800,2211300,0.855440826052423,0.0198570293884035
4,"LMON-328-R-2003",2003,"3.17","4.33","2.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=LMON-328-R-2003",8450020,"NA",0,"OutsideHW","MD","Frederick County",0.300507419893,0.842311250319,48.177264119,17.4016921723,0,0.615522924783,0.66226824787,0.692459118,0,0.0634182174339,0.290945103893,0.0403013718104,0.631806730321,0.66226824787,0.009562316,0,0.916174014515,0.936581782566,0.0239874164373,0.996872556685,3.8,3,3,0.909966024915,0.533845888422,0,0.00233350243425,0.00127865316788,0.00195513967161,0.000732944732057,0.00319360383885,0,0,0,0.00181089022819,0.00126535155814,0.00110680302003,0.00511791188663,0,0,1.24379768193e-06,0,1.3125389029e-06,0,0.0336254831955,0.167807867573,4.18,17.19,4.15,0.000568131213135,0.001419384,0.036479184,0.545000006,"020700090603",12993,"020700090604","North Fork Linganore Creek","S","No",0.28260002143,24,21,24021,3480,282600,0.971246006389776,0
5,"LMON-119-T-2000",2000,"4.29","4.33","4.25","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=LMON-119-T-2000",8450046,"157",1,"HWoutlet","MD","Frederick County",0.476505804312,0.936562682784,40.3089469756,14.7480615876,0,0.1625,0.508734780307,0.818121629,0,0,0.476505804312,0.0323383084577,0.552791597568,0.508734780307,0,0,0.939235545383,1,0.0174081237911,1,3.4,3.4,3.4,0,0.617633460674,0,0.000128418229683,6.72569435408e-05,0.000150176230322,5.56903283492e-05,0.000245265465713,0,0,0,0.000121754554612,8.38653419575e-05,7.11734537511e-05,0.000313153481685,0,0,0,0,6.7309687328e-08,0.00447414336066,0.0153080750096,0.0564400221117,4.18,17.19,4.15,8.29019945665e-05,0.041259325,0.263108194,0.175582332,"020700090603",12993,"020700090604","North Fork Linganore Creek","S","Yes",1.8089991707,24,21,24021,8880,1809000,0.970588235294118,0
6,"FR-P-388-208-96",1996,"3.21","4.67","1.75","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=FR-P-388-208-96",8450060,"NA",0,"OutsideHW","MD","Frederick County",0.447052979001,0.843292237948,70.5106929803,25.1404304233,0,0.258684863524,0.506672285433,0.785578903,0.022087974753,0.243260188088,0.427356575001,0.0423510162985,0.629287017809,0.506672285433,0.019696404,0,0.896225488621,0.756739811912,0.00587920897916,0.993049874492,3.2,3.4,3.2,0,0.57488670816,0,0.000757814545753,0.000386316002747,0.000788386128803,0.000307948332704,0.00128770551726,0,0,0,0.00125749339229,0.000908431540849,0.000861531995713,0.00447765544099,0,0,1.03649806828e-06,0,6.7309687328e-07,0,0.0363050202582,0.136457393773,4.18,17.19,4.15,0.000527445263938,0.049096639,0.286228784,0.213793121,"020700090603",12993,"020700090604","North Fork Linganore Creek","S","No",0.629099860201,24,21,24021,4860,629100,0.538216560509554,0.0605095541401274
7,"FR-P-388-246-96",1996,"3.46","4.67","2.25","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=FR-P-388-246-96",8450074,"NA",0,"OutsideHW","MD","Frederick County",0.43154096371,0.854600674091,73.4489091659,26.2953068085,0,0.278070836473,0.52887306029,0.778876694,0.0265526898253,0.234738372093,0.41517201671,0.04016945306,0.672432777736,0.52887306029,0.016368947,0,0.903213290249,0.765261627907,0.0116033755274,0.991645022737,3.4,3.4,3.4,0,0.592803556469,0,0.000509750930383,0.000261350010163,0.000588748871358,0.000233916214593,0.000961661077264,0,0,0,0.00109563858143,0.000796944877309,0.000766917334798,0.00406136384744,0,0,1.03649806828e-06,0,5.72132342288e-07,0.001617451107,0.032587126921,0.164039976129,4.18,17.19,4.15,0.000365715734733,0.083335422,0.401744402,0.410383345,"020700090603",12993,"020700090604","North Fork Linganore Creek","S","No",2.50199994725,24,21,24021,10740,2502000,1,0
8,"FR-P-335-110-96",1996,"2.54","3.33","1.75","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=FR-P-335-110-96",8450098,"NA",0,"OutsideHW","MD","Frederick County",0.0531601970806,0.622291296625,843.553416357,315.235146678,0,0.248358862144,0.963511972634,0.592473169,0,0,0.0531601970806,0.362204724409,3.68375005756,0.963511972634,0,0,0.608047289268,1,0.0103896103896,1,2,1,1,0.8985429034,0.426895062964,0,0.000201347230461,0.000198770336319,0.000123622950075,5.33565490509e-05,0.000127808101145,0,0,0,0.000316561975418,0.000295429379655,0.000143009607388,0.000394476853591,0,0,0.000361254126731,0.000188734264706,5.40160240807e-05,0,0.00318786062673,0.374315052724,4.18,17.19,4.15,0,0.011561147,0.057554815,1,"020700090606",39346,"020700090704","Carroll Creek-Monocacy River","S","Yes",2.17170024595,24,21,24021,8820,2171700,0.157348242811502,0.60223642172524
9,"HO-P-036-314-95",1995,"2.83","3.67","2.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=HO-P-036-314-95",11691396,"NA",0,"OutsideHW","MD","Carroll County",0.319528735144,0.840483138957,146.212014683,51.8651545382,0,0.265466006303,0.671126314764,0.738535578,0.0174041138674,0.221321995829,0.297523006144,0.0674698795181,0.830103529109,0.671126314764,0.022005729,0.0116915990015,0.878239260835,0.778678004171,0.0351695449389,0.282174403582,3.4,2.8,2.8,0.546346093009,0.59393364341,0,0.00408633816099,0.0036882760949,0.00307242605706,0.00139861876665,0.00511703713873,0,0,0,0.00792894216449,0.00797581754418,0.00625943936285,0.0283292074731,0,0,0.00175195813488,0.000639316067832,0.000337659046481,0.00426749200645,0.0263060977535,0.296772534096,0.15,11.2,0.46,0.00204801416379,0.007281692,0.028126838,0.20687677,"020600060102",17778,"020600060103","Cattail Creek","S","No",2.84489963455,24,13,24013,10740,2844900,0.878571428571429,0.0317460317460317
10,"HO-P-244-310-95",1995,"3.50","5.00","2.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=HO-P-244-310-95",11691402,"NA",0,"OutsideHW","MD","Carroll County",0.312968773186,0.837027437064,141.003693315,50.1297543716,0,0.275526078769,0.675586266075,0.735296971,0.018837464512,0.214927536232,0.291517727186,0.0673753002616,0.78881141248,0.675586266075,0.021451046,0.0108056357874,0.878306676839,0.785072463768,0.0312222222222,0.260791858602,3.6,2.8,2.8,0.377939983779,0.571905821958,0,0.00431167985643,0.00418555938871,0.00332387809111,0.00151410132148,0.00553889497923,0,0,0,0.00858229556698,0.00863173263244,0.0067745946295,0.030664150579,0,0,0.00190010825877,0.0006928757916,0.000366063734533,0.00121560261624,0.0255844207336,0.291141647838,0.15,11.2,0.46,0.00204801416379,0.005262848,0.030652839,0.151879939,"020600060102",17778,"020600060103","Cattail Creek","S","No",3.32910012067,24,13,24013,12360,3329100,0.547770700636943,0.0135350318471338
11,"HO-P-108-313-95",1995,"4.17","5.00","3.33","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=HO-P-108-313-95",11691402,"NA",0,"OutsideHW","MD","Carroll County",0.312968773186,0.837027437064,141.003693315,50.1297543716,0,0.275526078769,0.675586266075,0.735296971,0.018837464512,0.214927536232,0.291517727186,0.0673753002616,0.78881141248,0.675586266075,0.021451046,0.0108056357874,0.878306676839,0.785072463768,0.0312222222222,0.260791858602,3.6,2.8,2.8,0.377939983779,0.571905821958,0,0.00431167985643,0.00418555938871,0.00332387809111,0.00151410132148,0.00553889497923,0,0,0,0.00858229556698,0.00863173263244,0.0067745946295,0.030664150579,0,0,0.00190010825877,0.0006928757916,0.000366063734533,0.00121560261624,0.0255844207336,0.291141647838,0.15,11.2,0.46,0.00204801416379,0.005262848,0.030652839,0.151879939,"020600060102",17778,"020600060103","Cattail Creek","S","No",3.32910012067,24,13,24013,12360,3329100,0.810166799046863,0.0540111199364575
12,"HO-P-244-307-96",1996,"NA",NA,"4.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=HO-P-244-307-96",11691402,"NA",0,"OutsideHW","MD","Carroll County",0.312968773186,0.837027437064,141.003693315,50.1297543716,0,0.275526078769,0.675586266075,0.735296971,0.018837464512,0.214927536232,0.291517727186,0.0673753002616,0.78881141248,0.675586266075,0.021451046,0.0108056357874,0.878306676839,0.785072463768,0.0312222222222,0.260791858602,3.6,2.8,2.8,0.377939983779,0.571905821958,0,0.00431167985643,0.00418555938871,0.00332387809111,0.00151410132148,0.00553889497923,0,0,0,0.00858229556698,0.00863173263244,0.0067745946295,0.030664150579,0,0,0.00190010825877,0.0006928757916,0.000366063734533,0.00121560261624,0.0255844207336,0.291141647838,0.15,11.2,0.46,0.00204801416379,0.005262848,0.030652839,0.151879939,"020600060102",17778,"020600060103","Cattail Creek","S","No",3.32910012067,24,13,24013,12360,3329100,0.791235059760956,0
13,"MPAX-106-R-2007",2007,"1.83","1.67","2.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=MPAX-106-R-2007",11905602,"NA",0,"OutsideHW","MD","Howard County",0.247190046854,0.809539982803,615.852583784,255.504825306,0,0.0991379310345,0.783164983165,0.7047193,0,0.0677419354839,0.239854139854,0.138996138996,1.22571551143,0.783164983165,0.007335907,0.612857755715,0.837400252902,0.932258064516,0,0,2.4,1.2,1,0.253543944917,0.5536153231,0,7.71817154522e-05,0.000233241678054,4.32118706728e-05,1.44048143146e-05,4.6008420968e-05,0,0,0,0.000154075821238,0.000177944316657,0.000100415147223,0.000603215914691,0,0,3.45499356093e-07,0,2.65873264946e-06,0.0124007558672,0.0424286138572,0.514065085494,0.08,24.48,0.31,0.000118649128521,0.010049055,0.06050911,0.386495708,"020600060202",42440,"020600060203","Dorsey Run-Little Patuxent River","S","Yes",1.63170007432,24,27,24027,7920,1631700,0.79080824088748,0.0736925515055468
14,"SBPA-117-R-2000",2000,"3.33","2.67","4.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=SBPA-117-R-2000",11691404,"720",0,"HWother","MD","Howard County",0.400755722072,0.867775440442,126.143389679,45.9947407386,0,0.135951661631,0.621194379391,0.780652097,0.0033856,0.565502183406,0.368457670072,0.0445473984319,0.791953749901,0.621194379391,0.032298052,0,0.906587473223,0.434497816594,0,0.988952245189,3.4,2.8,2.8,0,0.59004187464,0,9.97212310087e-05,6.05889587125e-05,0.000181964057774,6.84716113844e-05,0.00026429882785,0,0,0,0.000417874135576,0.000450413674025,0.00034620246841,0.00149559686144,0,0,3.76594298141e-05,1.44526238739e-05,7.67330435539e-06,0.0552850091491,0.00959482427765,0.445216599351,0.08,24.48,0.31,7.54541264317e-05,0.010107972,0.06011095,0.24003581,"020600060101",22480,"020600060103","Cabin Branch-Patuxent River","S","Yes",5.05079977538,24,27,24027,14460,5050800,0.988038277511962,0
15,"HO-P-094-116-96",1996,"3.50","4.33","2.67","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=HO-P-094-116-96",11691418,"720",0,"HWother","MD","Howard County",0.226101473864,0.772470429199,71.731947752,24.2806878135,0,0.498281786942,0.804958677686,0.667068915,0,0.0958904109589,0.204490500864,0.0912367650372,0.750919876849,0.804958677686,0.021610973,0,0.862240216702,0.904109589041,0,0,3.4,2.6,2.6,0.881285640228,0.486476412224,1,0.000101963737978,9.56575839694e-05,0.000142047123998,4.73454322652e-05,0.00018975036553,0,0,0,0.00031004456019,0.000351333730702,0.000267494272107,0.00112063320251,0,0,6.90998712186e-08,0,3.70203280304e-07,0.0293757396365,0.00519867607049,0.28004305274,0.08,24.48,0.31,0.000110790803563,0.000320667,0.010877713,0.225859749,"020600060101",22480,"020600060103","Cabin Branch-Patuxent River","S","Yes",3.99510074613,24,27,24027,11280,3995100,0.163069544364508,0.156674660271783
16,"HO-P-115-204-96",1996,"3.67","4.67","2.67","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=HO-P-115-204-96",11689026,"NA",0,"OutsideHW","MD","Howard County",0.301894173366,0.762709020902,102.504759533,33.3131831868,0,0.48253968254,0.657614678899,0.698297607,0.0212384088768,0.00584307178631,0.282562402366,0.0548908166318,0.332369461894,0.657614678899,0.019331771,0,0.906106580795,0.994156928214,0.0364179104478,0,4.2,2.6,2.6,0.764157706093,0.701199025273,0,0.000393437265913,0.00089968417563,0.00021267902505,7.1128445321e-05,0.000284344356696,0,0,0,0.000468972283117,0.000532256075067,0.000404547361621,0.00169935616463,0,0,6.90998712186e-08,0,6.05787185952e-07,0,0.00920407740629,0.521504304185,0.08,24.48,0.31,0.000258956447116,0.009925121,0.02971239,0.029999971,"020600031002",14761,"020600031004","Hay Meadow Branch-South Branch Patapsco River","S","No",0.364500050569,24,27,24027,4080,364500,0.839043824701195,0.0685258964143426
17,"BA-N-045-223-96",1996,"1.83","2.67","1.00","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=BA-N-045-223-96",11694038,"NA",0,"OutsideHW","MD","Baltimore City",0.0752457156545,0.791982132736,2865.43908482,1239.83363054,0,0,0.943819611269,0.539878273,9.63734832471e-05,0.0592370979806,0.0737660666545,0.476677696039,1.28497542484,0.943819611269,0.001479649,0.0892344045031,0.521934055823,0.940762902019,0.0196841877569,0.595129229265,0,0,0,0.834256926952,0.455232224255,0.999999973669,0.00161445254962,0.00783410551295,4.82257302124e-06,2.37484346067e-06,5.81496229434e-06,0,0,0,0.0104009857742,0.0189017092323,0.0136211243972,0.000631404558222,0,0,7.75300555072e-05,0.000171731177795,0.000661822500652,0,0.00889598371047,0.121481933602,0,37.27,0.09,0.000555802187742,0.015632031,0.075354908,0.876249999,"020600031203",20180,"020600031204","Northwest Harbor-Patapsco River","S","No",6.51060039484,24,510,24510,20700,6510600,0.401743264659271,0.354992076069731
18,"HO-P-127-237-97",1997,"3.00","3.67","2.33","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=HO-P-127-237-97",11905500,"NA",0,"OutsideHW","MD","Howard County",0.223534987778,0.739514642638,95.1107877015,31.2129246375,0,0.531176006314,0.807770663562,0.655747896,0.0482683702232,0.148228488792,0.191284072778,0.0679377337999,0.536315246102,0.807770663562,0.032250915,0,0.863852892548,0.851771511208,0.275862068966,0,3.6,3,3,0.00364077669903,0.521737072483,0,0.000257037918589,0.000666498660277,0.000199516194885,6.64956065642e-05,0.00021340007174,0,0,0,0.000700197140015,0.000808985891371,0.000458060200647,0.00276374537024,0,0,1.52019716681e-06,0,1.2014779188e-05,0.00545693456003,0.0102106171854,0.692704771865,0.08,24.48,0.31,0.000188785847241,0,0.010188462,0.972670807,"020600060201",37149,"020600060202","Benson Branch-Middle Patuxent River","S","No",0.741599924008,24,27,24027,5400,741600,0.961752988047809,0
19,"MPAX-206-R-2002",2002,"3.67","4.00","3.33","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=MPAX-206-R-2002",11905502,"NA",0,"OutsideHW","MD","Howard County",0.27601747451,0.762234061135,102.821325171,33.1644246384,0,0.472606002859,0.75788321894,0.681626935,0.0545080292746,0.169811320755,0.25571218151,0.0708110333471,0.548922739124,0.75788321894,0.020305293,0,0.858622354552,0.830188679245,0.0363288718929,0,3.6,3.2,3.2,0.785617367707,0.513185952972,0,0.000349453054142,0.000805765917573,0.000291558987781,9.74495084376e-05,0.000311582306695,0,0,0,0.00102661912828,0.00118793270739,0.000669812487552,0.00406539532986,0,0,2.41849549265e-06,0,1.76351380799e-05,0.0239601105371,0.029768502391,0.447143314578,0.08,24.48,0.31,0.000274205833885,0,0.019918421,0.403955207,"020600060201",37149,"020600060202","Benson Branch-Middle Patuxent River","S","No",2.53349999491,24,27,24027,9420,2533500,0.278440731901352,0.00875099443118536
20,"LPAX-109-R-2000",2000,"3.50","2.67","4.33","http://eyesonthebay.dnr.maryland.gov/mbss/SA_site2k.cfm?siteyr=LPAX-109-R-2000",11905504,"NA",0,"OutsideHW","MD","Howard County",0.285945374055,0.761211357527,222.002033517,91.1958796785,0,0.221757322176,0.726128472222,0.716089997,0.04022784,0.243040685225,0.235791899055,0.0998576005696,1.18666192002,0.726128472222,0.050153475,0,0.846992057071,0.756959314775,0,0,3.4,2.8,2.8,0.402745995423,0.563979118151,1,7.62516381993e-05,0.000192585881541,3.26287485258e-05,1.26433483266e-05,4.270569173e-05,0,0,0,0.000699222759491,0.000759723780293,0.000463266741392,0.000291230336298,0,0,2.00389626534e-06,3.40061738209e-06,6.7309687328e-07,0.104849295861,0.297121888435,0.2284917527,0.08,24.48,0.31,5.89511749226e-05,0.009864428,0.04954466,0.198462751,"020600060202",42440,"020600060203","Dorsey Run-Little Patuxent River","S","Yes",5.05620034284,24,27,24027,17820,5056200,0.924363057324841,0.00398089171974522
